match_date,Winners
2/25/2016,FNATIC
2/24/2016,FNATIC
2/24/2016,FNATIC
2/24/2016,ASTRALIS
2/24/2016,ASTRALIS
2/24/2016,NATUS VINCERE
2/23/2016,SK
2/23/2016,ENVY
2/23/2016,VIRTUS.PRO
2/23/2016,MOUSESPORTS
2/23/2016,G2
2/22/2016,CLG
2/22/2016,TEMPO STORM
2/21/2016,LIQUID
2/21/2016,FNATIC
2/21/2016,FNATIC
2/21/2016,FNATIC
2/21/2016,FNATIC
2/21/2016,ASTRALIS
2/21/2016,ASTRALIS
2/20/2016,FNATIC
2/20/2016,G2
2/20/2016,ASTRALIS
2/20/2016,FNATIC
2/19/2016,FNATIC
2/19/2016,ASTRALIS
2/19/2016,ENVY
2/18/2016,FLIPSID3
2/17/2016,E-FRAG.NET
2/17/2016,NATUS VINCERE
2/17/2016,NATUS VINCERE
2/16/2016,ENVY
2/16/2016,FNATIC
2/16/2016,ASTRALIS
2/16/2016,ASTRALIS
2/15/2016,DIGNITAS
2/15/2016,DIGNITAS
2/15/2016,FNATIC
2/15/2016,FNATIC
2/14/2016,MOUSESPORTS
2/14/2016,FLIPSID3
2/13/2016,MOUSESPORTS
2/12/2016,MOUSESPORTS
2/12/2016,CLOUD9
2/12/2016,CLOUD9
2/11/2016,FNATIC
2/11/2016,FNATIC
2/11/2016,SK
2/11/2016,SK
2/10/2016,FAZE
2/10/2016,FAZE
2/10/2016,G2
2/10/2016,ASTRALIS
2/9/2016,ENVY
2/9/2016,ENVY
2/9/2016,NATUS VINCERE
2/9/2016,SK
2/9/2016,ASTRALIS
2/7/2016,ENVY
2/7/2016,ASTRALIS
2/6/2016,DIGNITAS
2/6/2016,ENVY
2/6/2016,CLG
2/6/2016,ENVY
2/5/2016,ASTRALIS
2/4/2016,DIGNITAS
2/4/2016,DIGNITAS
1/31/2016,DIGNITAS
1/26/2016,MOUSESPORTS
1/24/2016,NATUS VINCERE
1/23/2016,NATUS VINCERE
1/23/2016,LUMINOSITY
1/23/2016,DIGNITAS
1/23/2016,LUMINOSITY
1/22/2016,LUMINOSITY
1/22/2016,ASTRALIS
1/22/2016,NATUS VINCERE
1/22/2016,ASTRALIS
1/22/2016,FAZE
1/22/2016,NATUS VINCERE
1/19/2016,FLIPSID3
1/17/2016,FNATIC
1/16/2016,NATUS VINCERE
1/16/2016,FNATIC
1/15/2016,NATUS VINCERE
1/15/2016,FNATIC
1/14/2016,NATUS VINCERE
12/28/2017,MOUSESPORTS
12/17/2017,FAZE
12/17/2017,FAZE
12/17/2017,MOUSESPORTS
12/16/2017,FAZE
12/16/2017,MOUSESPORTS
12/16/2017,CLOUD9
12/15/2017,ASTRALIS
12/15/2017,FAZE
12/15/2017,ASTRALIS
12/15/2017,FNATIC
12/15/2017,OPTIC
12/10/2017,SK
12/9/2017,FAZE
12/8/2017,FNATIC
12/6/2017,NIP
12/6/2017,SK
12/6/2017,NORTH
12/6/2017,FNATIC
12/6/2017,FNATIC
12/6/2017,FAZE
12/5/2017,OPTIC
12/5/2017,NIP
12/5/2017,SK
12/5/2017,FNATIC
12/3/2017,NATUS VINCERE
12/3/2017,MOUSESPORTS
12/3/2017,NATUS VINCERE
12/2/2017,NATUS VINCERE
12/1/2017,ENVY
12/1/2017,GAMBIT
12/1/2017,NATUS VINCERE
11/26/2017,SPACE SOLDIERS
11/26/2017,UKRAINE
11/25/2017,SK
11/25/2017,SPACE SOLDIERS
11/25/2017,ASTRALIS
11/25/2017,SK
11/25/2017,G2
11/25/2017,FAZE
11/25/2017,ASTRALIS
11/25/2017,NIP
11/25/2017,NORTH
11/25/2017,FAZE
11/25/2017,SK
11/25/2017,NORTH
11/25/2017,ASTRALIS
11/25/2017,UKRAINE
11/25/2017,G2
11/25/2017,NIP
11/25/2017,ASTRALIS
11/24/2017,VIRTUS.PRO
11/23/2017,SPACE SOLDIERS
11/23/2017,MOUSESPORTS
11/23/2017,MOUSESPORTS
11/23/2017,HEROIC
11/23/2017,VIRTUS.PRO
11/23/2017,FAZE
11/23/2017,HEROIC
11/22/2017,CLOUD9
11/22/2017,CLOUD9
11/22/2017,NIP
11/22/2017,NIP
11/22/2017,RENEGADES
11/22/2017,CLOUD9
11/21/2017,FNATIC
11/21/2017,FNATIC
11/21/2017,NIP
11/21/2017,NIP
11/20/2017,NIP
11/19/2017,FAZE
11/18/2017,NIP
11/16/2017,CLOUD9
11/16/2017,SK
11/16/2017,SPACE SOLDIERS
11/16/2017,OPTIC
11/16/2017,GAMBIT
11/16/2017,FAZE
11/15/2017,G2
11/15/2017,RENEGADES
11/15/2017,OPTIC
11/15/2017,GAMBIT
11/15/2017,NIP
11/15/2017,CLOUD9
11/15/2017,ENVY
11/15/2017,ASTRALIS
11/15/2017,MOUSESPORTS
